"Language","HashType","CPU","RAM","Time"
"CSharp","MD5","0,0781","17,8","0,1432"
"CSharp","MD5","0,0625","18,38","0,1095"
"Python","MD5","0,1562","7,97","0,6105"
"CSharp","MD5","0,0938","18,66","0,1383"
"CSharp","MD5","0,0781","18,5","0,1231"
"CSharp","MD5","0,0781","18,67","0,1219"
"Cpp","MD5","0","3,77","0,0451"
"Python","MD5","0,1562","8","0,6223"
"Cpp","MD5","0","3,77","0,0436"
"Cpp","MD5","0","4,75","0,0709"
"Cpp","MD5","0","3,76","0,0462"
"Cpp","MD5","0","3,77","0,0446"
"Python","MD5","0,125","7,98","0,6388"
"Python","MD5","0,2031","7,99","0,7632"
"Python","MD5","0,1719","8","0,6694"
"Python","MD5","0,1406","8","0,6532"
"Python","MD5","0,1719","8","0,6234"
"Python","MD5","0,1094","7,99","0,5955"
"Python","MD5","0,1406","7,99","0,6111"
"Python","MD5","0,125","8","0,6278"
"Python","MD5","0,1406","8","0,6414"
"Python","MD5","0,125","8","0,6058"
"Python","MD5","0,1562","7,99","0,606"
"CSharp","SHA1","0,0781","18,89","0,1367"
"CSharp","SHA1","0,0938","18,63","0,1517"
"CSharp","SHA1","0,0781","18,64","0,1237"
"CSharp","SHA1","0,0781","18,63","0,124"
"Python","MD5","0,1562","7,98","0,5775"
"CSharp","SHA1","0,1094","18,64","0,1725"
"Cpp","SHA1","0","3,77","0,0593"
"Cpp","SHA1","0,0156","3,76","0,0613"
"Cpp","SHA1","0,0156","3,76","0,0452"
"Python","MD5","0,1562","8","0,5631"
"Cpp","SHA1","0,0156","3,92","0,0443"
"Cpp","SHA1","0","3,76","0,0603"
"Python","MD5","0,125","7,99","0,6103"
"Python","SHA1","0,125","7,98","0,6089"
"Python","MD5","0,125","7,98","0,6093"
"Python","SHA1","0,1094","7,98","0,5925"
"Python","MD5","0,125","8","0,5937"
"Python","SHA1","0,1406","7,98","0,6093"
"Python","MD5","0,1406","7,99","0,5931"
"Python","SHA1","0,1406","7,98","0,6051"
"Python","MD5","0,125","7,99","0,5295"
"Python","SHA1","0,125","7,98","0,5756"
"CSharp","SHA2","0,0781","18,42","0,1236"
"CSharp","SHA2","0,0625","18,41","0,1078"
"Python","MD5","0,1094","8","0,5796"
"CSharp","SHA2","0,0781","18,7","0,1224"
"CSharp","SHA2","0,0781","18,79","0,1236"
"CSharp","SHA2","0,0625","18,49","0,1219"
"Cpp","SHA2","0","3,76","0,0446"
"Python","MD5","0,125","8","0,5897"
"Cpp","SHA2","0","3,76","0,0448"
"Cpp","SHA2","0","4,07","0,0454"
"Cpp","SHA2","0","4,45","0,0467"
"Cpp","SHA2","0","4,2","0,0446"
"Python","MD5","0,125","8","0,5784"
"Python","SHA2","0,1406","7,98","0,6214"
"Python","MD5","0,125","7,98","0,5885"
"Python","SHA2","0,125","7,98","0,5935"
"Python","MD5","0,125","7,99","0,5618"
"Python","SHA2","0,125","7,99","0,5926"
"Python","MD5","0,125","7,98","0,6092"
"Python","SHA2","0,125","7,97","0,5453"
"Python","MD5","0,1094","7,98","0,5777"
"Python","SHA2","0,125","8","0,5904"
"Python","MD5","0,125","7,97","0,5765"
"Python","MD5","0,1094","8,45","0,6221"
"Python","MD5","0,125","8,46","0,6114"
"Python","MD5","0,125","8,44","0,5941"
"Python","MD5","0,125","8","0,5782"
"Python","MD5","0,125","8","0,578"
"Python","MD5","0,125","8","0,5562"
"Python","MD5","0,125","8,36","0,5936"
"Python","MD5","0,1406","7,98","0,5647"
"Python","MD5","0,1562","8,46","0,5891"
"Python","MD5","0,1406","8,45","0,6129"
"Python","MD5","0,1406","8,46","0,6084"
"Python","MD5","0,125","8,46","0,5802"
"Python","MD5","0,125","8,46","0,5777"
"Python","MD5","0,125","8,45","0,5926"
"Python","MD5","0,1094","8,46","0,5906"
"Python","MD5","0,1094","8","0,5138"
"Python","MD5","0,125","8","0,5149"
"Python","MD5","0,0938","8","0,5751"
"Python","MD5","0,1094","7,98","0,5165"
"Python","MD5","0,1094","8,46","0,5915"
"Python","MD5","0,1094","8","0,513"
"Python","MD5","0,125","7,99","0,5795"
"Python","MD5","0,1406","8,45","0,5308"
"Python","MD5","0,1406","7,98","0,5799"
"Python","MD5","0,1562","8,47","0,5911"
"Python","MD5","0,1562","8,46","0,5934"
"Python","MD5","0,1562","8,47","0,5781"
"Python","MD5","0,1406","8,46","0,591"
"Python","MD5","0,1094","8,46","0,5791"
"Python","MD5","0,1094","7,99","0,5776"
"Python","MD5","0,125","8,46","0,5797"
"Python","MD5","0,1094","7,98","0,5327"
"Python","MD5","0,1562","8,45","0,5813"
"Python","MD5","0,125","7,98","0,5771"
"Python","MD5","0,1094","8,44","0,531"
"Python","MD5","0,125","8,46","0,5318"
"Python","MD5","0,125","8","0,5758"
"Python","MD5","0,125","8","0,5756"
"Python","MD5","0,125","8","0,5754"
"Python","MD5","0,1406","8","0,5307"
"Python","MD5","0,1406","8","0,5943"
"Python","MD5","0,125","8,47","0,5876"
"Python","MD5","0,125","7,98","0,5958"
"Python","MD5","0,125","7,98","0,5161"
"Python","MD5","0,1406","7,98","0,5949"
"Python","MD5","0,1406","7,97","0,5949"
"Python","MD5","0,125","7,98","0,5614"
"Python","MD5","0,125","8","0,5939"
"Python","MD5","0,1094","7,99","0,5295"
"Python","MD5","0,1406","7,98","0,5493"
"Python","MD5","0,1094","7,99","0,5197"
"Python","MD5","0,1406","7,96","0,592"
"Python","MD5","0,1406","7,99","0,576"
"Python","MD5","0,125","7,98","0,589"
"Python","MD5","0,1094","7,98","0,5796"
"Python","MD5","0,1562","7,98","0,5941"
"Python","MD5","0,125","8","0,5824"
"Python","MD5","0,125","7,98","0,5608"
"Python","MD5","0,125","7,98","0,6109"
"Python","MD5","0,1562","8","0,6104"
"Python","MD5","0,1406","7,96","0,606"
"Python","MD5","0,1875","8","0,642"
"Python","MD5","0,125","7,99","0,5483"
"Python","MD5","0,1406","7,98","0,5593"
"Python","MD5","0,1406","7,99","0,6083"
"Python","MD5","0,1406","8","0,5945"
"Python","MD5","0,1562","7,99","0,6245"
"Python","MD5","0,125","8","0,5627"
"Python","MD5","0,1094","7,98","0,5773"
"Python","MD5","0,125","7,99","0,5738"
"Python","MD5","0,125","7,99","0,5763"
